LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION,ENE
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,58.5
-102.47,22.19,AGS,ANVAG,CINCUENTA ANIVERSARIO,0
-102.18,21.74,AGS,BRTAG,SAN BARTOLO,17
-102.67,22,AGS,CDRAG,LA CODORNIZ,45
-102.19,21.83,AGS,CLVAG,CALVILLITO,60.5
-102,21.9,AGS,CNSAG,LOS CONOS,54.8
-102.3,22.36,AGS,CSOAG,COSIO,49
-102.35,22.12,AGS,JCQAG,JOCOQUE,57.8
-102.35,21.87,AGS,LNGAG,LOS NEGRITOS,58.9
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,39.7
-102.44,21.78,AGS,NGRAG,EL NIAGARA,53
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,63
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,67.7
-101.97,21.92,AGS,PALAG,PALO ALTO,60.5
-102.29,22.16,AGS,PBLAG,PABELLON,54.1
-102.42,22.14,AGS,PECAG,CALLES,55
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,51
-102.44,22.24,AGS,PTRAG,POTRERILLOS,52.3
-102.11,21.89,AGS,SNVAG,SANDOVALES,62
-102.13,21.81,AGS,TNJAG,LA TINAJA II,52
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,30
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,53.7
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,46.9
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",16.4
-116.7,32.48,BC,CRRBN,EL CARRIZO,42.4
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",18.3
-116.81,32.47,BC,EFLBN,EL FLORIDO,44.9
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,63.3
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,25.2
-116.81,32.1,BC,LAMBN,LA MISION,18.9
-115.27,32.39,BC,MXCBN,MEXICALI,16.9
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,22.5
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",0.5
-114.85,31.03,BC,SFLBN,SAN FELIPE,8.6
-115.94,30.53,BC,SQNBN,"San Quintin, B.C. SMN*",32.4
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,0
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,0
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,22.5
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,12.5
-109.7,23.68,BCS,LBABS,LOS BARRILES,0
-110.37,24.15,BCS,LPZBS,LA PAZ,0
-111.34,26.02,BCS,LRTBS,LORETO,0
-112,26.87,BCS,MLGBS,MULEGE,3
-109.98,24.07,BCS,PLNBS,LOS PLANES,1
-109.55,23.58,BCS,RBRBS,LA RIBERA,0
-110.05,23.8,BCS,SANBS,SAN ANTONIO,0
-109.6,23.03,BCS,SARBS,EL SARGENTO,0
-109.88,23.72,BCS,SBABS,SAN BARTOLO,0
-109.66,22.88,BCS,SLUBS,"CABOS SAN LUCAS, BCS. AUTOMATICA",0
-109.72,23.45,BCS,SNTBS,SANTIAGO,0
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,7
-110.22,23.43,BCS,TSNBS,TODOS SANTOS,0
-89.74,20,CAMP,BOLCA,BOLONCHEN,61.6
-89.89,18.37,CAMP,CALCA,CALAKMUL (AUTOMATICA),126.6
-90.72,19.36,CAMP,CANCA,CANASAYAB,165.8
-90.55,19.85,CAMP,CAMCA,"Campeche, Camp.  SMN*",2.8
-91.76,18.65,CAMP,CARCA,EL CARMEN,289
-90.72,19.36,CAMP,CHMCA,CHAMPOTON,111
-90.54,19.84,CAMP,CMPCA,CAMPECHE,62
-91.05,18.18,CAMP,CNDCA,CANDELARIA,223.4
-90.54,19.84,CAMP,COBCA,CAMPECHE OBSERVATORIO,51.4
-90.74,18.61,CAMP,ESCCA,ESCARCEGA,165.3
-89.84,19.76,CAMP,HPOCA,HOPELCHEN,61.7
-90.22,19.44,CAMP,NYXCA,NOH-YAXCHE,74.2
-92.09,18.13,CAMP,PLZCA,PALIZADA,140
-91.2,18.9,CAMP,SBNCA,SABANCUY,197.2
-89.87,19.71,CAMP,XCPCA,XCUPIL,30.7
-108.08,29.22,CHIH,C08219,"PE—ITAS, MADERA",14.5
-105.97,28.7,CHIH,C08270,"LA MESA, ALDAMA",11
-107.63,28.52,CHIH,AGZCH,PRESA ABRAHAM GONZALEZ,8
-107.25,28.8,CHIH,BACCH,BACHINIVA,12
-108.21,28.2,CHIH,BASCH,"Basaseachic, Chih.  SMN*",48.4
-108.21,28.21,CHIH,BSSCH,BASSASEACHIC,20.2
-107.72,27.03,CHIH,BTPCH,BATOPILAS,22.4
-107.9,27.9,CHIH,BTVCH,BATOVIRA,37
-107.9,30.5,CHIH,CAGCH,CASAS GRANDES,39.5
-105.17,27.69,CHIH,CCOCH,CD. CAMARGO,24.1
-105.46,28.2,CHIH,CDLCH,CD. DELICIAS,33
-106.77,26.23,CHIH,CHNCH,"CHINATU, (AUTOMATICA)",0
-106.17,28.57,CHIH,CHUCH,PRESA CHIHUAHUA,6.6
-106.44,31.74,CHIH,CJZCH,CD. JUAREZ,7
-105.38,27.41,CHIH,CLNCH,COLINA,1
-108.54,27.42,CHIH,CNDCH,CHINIPAS,13
-107.64,27.76,CHIH,CRLCH,CREEL,17
-106.11,28.61,CHIH,ERECH,PRESA EL REJON,6.6
-105.63,28.17,CHIH,FIMCH,P. FRANCISCO I. MADERO,37
-108.3,29.2,CHIH,GPCCH,GUAPOCA,14
-107.28,26.68,CHIH,GRCCH,GUERACHIC,21.5
-106.96,26.1,CHIH,GYCCH,GUADALUPE Y CALVO,44
-107.88,26.87,CHIH,IGNCH,SAN IGNACIO,7.5
-104.92,27.12,CHIH,JMNCH,JIMENEZ,7
-105.39,27.54,CHIH,LBQCH,LA BOQUILLA,14
-106.98,29.94,CHIH,LJSCH,PRESA LAS LAJAS,12.1
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,30
-104.4,29.57,CHIH,OJNCH,OJINAGA,50
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,3.5
-105.7,26.9,CHIH,PRRCH,PARRAL,4.5
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,8.8
-106.5,26.4,CHIH,RVGCH,RANCHO DEL VERGEL,12.2
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,13.6
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,5
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,17.2
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,3.5
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,23
-108.38,28.42,CHIH,YEPCH,YEPACHE,10
-92.8,16.55,CHIS,ACACP,ACALA,0
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,0.2
-91.91,15.78,CHIS,AQECP,AQUEXPALA,18.5
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,0
-93.15,16.64,CHIS,BOQCP,BOQUERON,2.3
-92.72,15.35,CHIS,CACCP,CACALUTA,5.8
-92.48,16.31,CHIS,CASCP,CASCAJAL,4
-93.1,16.93,CHIS,CHICP,CHICOASEN,10.7
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,24
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,8.6
-92.58,15.2,CHIS,DESCP,DESPOBLADO,18
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,0
-93.13,16.64,CHIS,GRICP,GRIJALVA,5.8
-92.47,15.13,CHIS,HUICP,HUIXTLA,46.8
-92.73,15.87,CHIS,JAPCP,JALTENANGO,3.5
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),0
-90.7,16.58,CHIS,LACCP,LACANTUN,125.9
-93.56,16.7,CHIS,LFLCP,LAS FLORES,3.2
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),99.1
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,516
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,17.5
-93.45,17.41,CHIS,PE•CP,PRESA PE—ITAS,345.9
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,0
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,221.6
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",0
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,169.8
-92.67,15.92,CHIS,REFCP,REFORMA,7.5
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,0
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,264.3
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,3.3
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,2.1
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,0
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,35.2
-93.75,16.09,CHIS,TONCP,TONALA,0
-93.53,15.88,CHIS,TPICP,TRES PICOS,0
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,0.6
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,3.6
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,0
-93.33,17.12,CHIS,YAMCP,YAMANHO,139.8
-100.84,28.34,COAH,ADLCL,ALLENDE,19
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,26
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,15.6
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,15.6
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,3.3
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,36
-100.65,26.84,COAH,CDLCL,CANDELA,8.5
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,53
-103.47,25.54,COAH,CYTCL,COYOTE,0.9
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,39.3
-103.28,25.07,COAH,LFLDR,LA FLOR,0
-103.2,25.6,COAH,MATCL,MATAMOROS SL,0
-101.42,26.91,COAH,MCVCL,MONCLOVA,16.6
-101.51,27.88,COAH,MZQCL,MUZQUIZ,11
-102.4,27.32,COAH,OCMCL,OCAMPO,0.3
-102.18,25.44,COAH,PARCL,PARRAS,3
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,37
-101,25.46,COAH,PRSCL,PROGRESO,9
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),30.7
-101.12,27.84,COAH,SBNCL,SABINAS,8
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,19
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,0
-102.98,25.76,COAH,SPECL,SAN PEDRO,0
-101.02,25.38,COAH,STOCL,SALTILLO,13
