Lon,Lat,Clave,Edo,Est,Tmed
-89.68,20.65,ABAYC,YUC,"Abal·, Yuc.",21.1
-101.54,20.45,ABSGJ,GTO,"Abasolo, Gto.",17.4
-92.8,16.55,ACACP,CHIS,"Acala, Chis.",22.9
-99.91,16.85,ACAGR,GRO,"Acapulco, Gro.",27.1
-105.35,22.49,ACANR,NAY,"Acaponeta, Nay.",22.3
-105.38,22.47,ACAPONETA,NAY,"Acaponeta, Nay. SMN*",22.3
-96.84,19.7,ACAVC,VER,"Acatl·n, Ver.",12.2
-98.83,18.95,ACHMR,MOR,"Achichipico, Mor.",17.7
-97.42,19.45,ACHPB,PUE,"Alchichilca, Pue.",10.7
-103.23,22.33,ACHZC,JAL,"Achimec, Jal.",13.6
-97.93,19.06,ACJPB,PUE,"Acajete, Pue.",8.8
-100.71,20.03,ACNGJ,GTO,"Ac·mbaro, Gto.",16.2
-110.23,29.82,ACNSO,SON,"Aconchi, Son.",11
-98.91,19.64,ACOSE,MEX,"Acolman, MÈx. SGIRPC*",13.3
-98.94,20.27,ACTHD,HGO,"Actopan, Hgo.",12.5
-106.65,24.05,ACTSI,SIN,"Acatit·n, Sin.",18.9
-96.59,19.5,ACTVC,VER,"Actopan, Ver.",21.2
-99.75,16.76,ACUGR,GRO,"Acapulco, Gro. SMN*",26.5
-100.84,28.34,ADLCL,COAH,"Allende, Coah.",12.6
-98.06,18.28,ADOPB,PUE,"Acatl·n de Osorio, Pue.",28.6
-100.68,20.53,AEGGJ,GTO,"Apaseo el Grande, Gto.",16.8
-99.52,17.58,AERGR,GRO,"Observatorio de Chilpancingo Aeropuerto, Gro.",21.6
-98.14,18.94,AFRPB,PUE,"¡fricam, Pue.",16.9
-116.2,32.27,AGHBN,BC,"Agua Hechicera, B.C.",6.3
-102.31,21.9,AGSAG,AGS,"Aguascalientes, Ags.",13.1
-107.48,28.48,AGZCH,CHIH,"Abraham Gonz·lez, Chih.",5.5
-99.15,22.99,AHLTP,TAMP,"Ahualulco, Tamps.",18.7
-98.15,20.03,AHUPB,PUE,"Ahuazontepec, Pue.",10.4
-102.44,21.6,AJJJL,JAL,"Ajoj˙car, Jal.",14.3
-98.56,21.97,AJTSL,SLP,"Las Adjuntas, S.L.P.",19.4
-100.01,25.27,AL2NL,NL,"Allende Dos, N. L.",13.7
-107.38,25.09,AL2SI,SIN,"El Varejonal hidromÈtrica, Sin.",19.9
-97.68,20.93,ALAVC,VER,"¡lamo Temapache, Ver.",18.9
-102.59,22.18,ALMAG,AGS,"Alamitos, Ags.",9.2
-111.73,30.72,ALTSO,SON,"Observatorio de Altar, Son.",12
-97.23,19.76,ALTVC,VER,"Altotonga, Ver.",18.3
-99.26,18.73,ALUMR,MOR,"Alpuyeca, Mor.",20.9
-99.65,19.48,ALZATE,MEX,"Alzate, MÈx. SGT*",10.9
-104.07,25.26,AM2DR,DGO,"AgustÌn Melgar, Dgo. SMN*",12.3
-100.58,20.55,AMCGJ,GTO,"Ameche, Gto.",14.8
-99.38,18.6,AMCMR,MOR,"Amacuzac, Mor.",21.5
-98.77,18.76,AMIMR,MOR,"Amilcingo, Mor.",19.8
-101.06,29.45,AMSCL,COAH,"Internacional La Amistad, Coah.",12.3
-92.78,16.4,ANGCP,CHIS,"Doctor Belisario DomÌnguez, Chis.",23.2
-100.13,27.24,ANHNL,NL,"An·huac, N.L.",15
-102.46,22.19,ANVAG,AGS,"Cincuenta Aniversario, Ags.",10.5
-109.89,27.82,AOBSO,SON,"¡lvaro ObregÛn, Son.",18.6
-97.84,20.41,APAPB,PUE,"Apapantilla, Pue.",20.8
-104.49,26.23,APRDR,DGO,"Ing. BenjamÌn Ortega Cantero, Dgo.",10.6
-100.62,20.45,APSGJ,GTO,"Apaseo el Alto, Gto.",16.3
-102.37,19.08,APTMC,MICH,"Apatzing·n, Mich.",24.4
-109.54,31.33,APTSO,SON,"Agua Prieta, Son.",8
-100.93,25.56,ARACL,COAH,"Ramos Arizpe Aeropuerto, Coah.",12.8
-99.22,19.57,ARBMX,MEX,"Las Arboledas, MÈx.",15.2
-108.7,25.7,ARCSI,SIN,"Adolfo RuÌz CortÌnes, Sin.",16.7
-109.11,27.23,ARCSO,SON,"Adolfo RuÌz CortÌnes, Son.",17.6
-95.44,18.58,ARCVC,VER,"¡ngel Rosario Cabada, Ver.",21.4
-109.09,30.07,ARISO,SON,"Aribabi, Son.",6.2
-93.9,16.24,AROCP,CHIS,"Observatorio de Arriaga, Chis.",26.4
-99.82,24.1,ARRNL,NL,"Aramberri, N.L.",16
-110.17,30.34,ARZSO,SON,"Arizpe, Son.",7.3
-99.91,24.32,ASCNL,NL,"La AscensiÛn, N.L.",11.5
-101.63,20.5,ATBGJ,GTO,"Agua Tibia, Gto.",15.2
-98.35,21.02,ATCHD,HGO,"Atlapexco, Hgo.",19.5
-98.91,19.54,ATEMX,MEX,"Atenco, MÈx.",14.9
-96.53,17.43,ATEOX,OAX,"Atepec, Oax.",16.5
-103.46,21.81,ATGZC,ZAC,"Atolinga, Zac.",13
-98.93,18.95,ATLMR,MOR,"Atlatlahucan, Mor.",17.4
-98.42,18.92,ATXPB,PUE,"Atlixco, Pue.",16.4
-100.43,17.21,ATYGR,GRO,"Atoyac, Gro.",27.1
