  LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION, MAR
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,0.2
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),0
-102.47,22.19,AGS,ANVAG,CINCUENTA ANIVERSARIO,0
-102.18,21.74,AGS,BRTAG,SAN BARTOLO,0
-102.67,22,AGS,CDRAG,LA CODORNIZ,0
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,0.5
-102.19,21.83,AGS,CLVAG,CALVILLITO,1.8
-102,21.9,AGS,CNSAG,LOS CONOS,0.5
-102.3,22.36,AGS,CSOAG,COSIO,0
-102.35,22.12,AGS,JCQAG,JOCOQUE,0
-102.35,21.87,AGS,LNGAG,LOS NEGRITOS,0
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,0
-102.44,21.78,AGS,NGRAG,EL NIAGARA,0.9
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,1
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,1.2
-101.97,21.92,AGS,PALAG,PALO ALTO,0
-102.29,22.16,AGS,PBLAG,PABELLON,0
-102.42,22.14,AGS,PECAG,CALLES,0
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,0
-102.44,22.24,AGS,PTRAG,POTRERILLOS,0
-102.11,21.89,AGS,SNVAG,SANDOVALES,0
-102.13,21.81,AGS,TNJAG,LA TINAJA II,0
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,0
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,36.3
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,21.8
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",0
-116.7,32.48,BC,CRRBN,EL CARRIZO,20.3
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",0
-116.81,32.47,BC,EFLBN,EL FLORIDO,27.7
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,42.7
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,0
-116.81,32.1,BC,LAMBN,LA MISION,44
-115.27,32.39,BC,MXCBN,MEXICALI,0
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,5.5
