  LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION, ABR
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,0
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),0
-102.18,21.74,AGS,BRTAG,SAN BARTOLO,0
-102.67,22,AGS,CDRAG,LA CODORNIZ,0
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,0
-102.19,21.83,AGS,CLVAG,CALVILLITO,0
-102,21.9,AGS,CNSAG,LOS CONOS,0.6
-102.3,22.36,AGS,CSOAG,COSIO,0
-102.35,22.12,AGS,JCQAG,JOCOQUE,0
-102.35,21.87,AGS,LNGAG,LOS NEGRITOS,0
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,0
-102.44,21.78,AGS,NGRAG,EL NIAGARA,0
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,0
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,0
-101.97,21.92,AGS,PALAG,PALO ALTO,0
-102.29,22.16,AGS,PBLAG,PABELLON,0
-102.42,22.14,AGS,PECAG,CALLES,0
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,0
-102.44,22.24,AGS,PTRAG,POTRERILLOS,0
-102.11,21.89,AGS,SNVAG,SANDOVALES,0
-102.13,21.81,AGS,TNJAG,LA TINAJA II,0
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,0
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,2.3
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,0.7
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",0
-116.49,32.2,BC,BLMBN,BELEM,1
-116.7,32.48,BC,CRRBN,EL CARRIZO,0
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",0
-116.81,32.47,BC,EFLBN,EL FLORIDO,0
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,0.5
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,0
-116.81,32.1,BC,LAMBN,LA MISION,0
-115.27,32.39,BC,MXCBN,MEXICALI,0
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,0
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",8.1
-114.85,31.03,BC,SFLBN,SAN FELIPE,0
-115.94,30.53,BC,SQNBN,"San Quintin, B.C. SMN*",12.7
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,0
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,0
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,0
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,0
-109.7,23.68,BCS,LBABS,LOS BARRILES,0
-110.37,24.15,BCS,LPZBS,LA PAZ,0
-111.34,26.02,BCS,LRTBS,LORETO,0
-112,26.87,BCS,MLGBS,MULEGE,0
-109.98,24.07,BCS,PLNBS,LOS PLANES,0
-109.55,23.58,BCS,RBRBS,LA RIBERA,0
-110.05,23.8,BCS,SANBS,SAN ANTONIO,0
-109.6,23.03,BCS,SARBS,EL SARGENTO,0
-109.88,23.72,BCS,SBABS,SAN BARTOLO,0
-109.67,23.05,BCS,SJCBS,SAN JOSE DEL CABO,0
-109.66,22.88,BCS,SLUBS,"CABOS SAN LUCAS, BCS. AUTOMATICA",0.5
-109.72,23.45,BCS,SNTBS,SANTIAGO,0
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,0
-112.27,27.34,BCS,STRBS,"SANTA ROSALÕA, BCS. AUTOMATICA",0
-110.22,23.43,BCS,TSNBS,TODOS SANTOS,0
-89.89,18.37,CAMP,CALCA,CALAKMUL (AUTOMATICA),87.6
-90.72,19.36,CAMP,CANCA,CANASAYAB,10.5
-90.55,19.85,CAMP,CAMCA,"Campeche, Camp.  SMN*",12.4
-91.76,18.65,CAMP,CARCA,EL CARMEN,23.1
-90.72,19.36,CAMP,CHMCA,CHAMPOTON,0
-90.54,19.84,CAMP,CMPCA,CAMPECHE,5
-91.05,18.18,CAMP,CNDCA,CANDELARIA,46
-90.54,19.84,CAMP,COBCA,CAMPECHE OBSERVATORIO,14.9
-90.74,18.61,CAMP,ESCCA,ESCARCEGA,7.8
-90.14,20.2,CAMP,HECCA,HECELCHAKAN,20.5
-89.84,19.76,CAMP,HPOCA,HOPELCHEN,13.4
-90.22,19.44,CAMP,NYXCA,NOH-YAXCHE,28
-92.09,18.13,CAMP,PLZCA,PALIZADA,20.5
-91.2,18.9,CAMP,SBNCA,SABANCUY,6
-89.87,19.71,CAMP,XCPCA,XCUPIL,2.9
-108.08,29.22,CHIH,C08219,"PE—ITAS, MADERA",0
-105.97,28.7,CHIH,C08270,"LA MESA, ALDAMA",0
-107.63,28.52,CHIH,AGZCH,PRESA ABRAHAM GONZALEZ,0
-107.25,28.8,CHIH,BACCH,BACHINIVA,0
-108.21,28.2,CHIH,BASCH,"Basaseachic, Chih.  SMN*",0
-108.21,28.21,CHIH,BSSCH,BASSASEACHIC,0
-107.72,27.03,CHIH,BTPCH,BATOPILAS,0
-107.9,27.9,CHIH,BTVCH,BATOVIRA,0
-107.9,30.5,CHIH,CAGCH,CASAS GRANDES,4
-105.17,27.69,CHIH,CCOCH,CD. CAMARGO,0
-105.46,28.2,CHIH,CDLCH,CD. DELICIAS,4.5
-106.77,26.23,CHIH,CHNCH,"CHINATU, (AUTOMATICA)",0
-106.17,28.57,CHIH,CHUCH,PRESA CHIHUAHUA,1.1
-106.44,31.74,CHIH,CJZCH,CD. JUAREZ,0
-105.38,27.41,CHIH,CLNCH,COLINA,0
