  LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION, MAY
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,14.8
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),18
-102.18,21.74,AGS,BRTAG,SAN BARTOLO,63.9
-102.67,22,AGS,CDRAG,LA CODORNIZ,6
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,24.2
-102.19,21.83,AGS,CLVAG,CALVILLITO,88
-102,21.9,AGS,CNSAG,LOS CONOS,54.8
-102.3,22.36,AGS,CSOAG,COSIO,7.5
-102.35,22.12,AGS,JCQAG,JOCOQUE,27.7
-102.35,21.87,AGS,LNGAG,LOS NEGRITOS,13.1
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,12
-102.44,21.78,AGS,NGRAG,EL NIAGARA,15.8
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,26
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,16.6
-101.97,21.92,AGS,PALAG,PALO ALTO,64
-102.29,22.16,AGS,PBLAG,PABELLON,32.4
-102.42,22.14,AGS,PECAG,CALLES,10.1
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,28
-102.44,22.24,AGS,PTRAG,POTRERILLOS,15.4
-102.11,21.89,AGS,SNVAG,SANDOVALES,32
-102.13,21.81,AGS,TNJAG,LA TINAJA II,47.5
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,18.2
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,9.1
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,2.6
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",3
-116.49,32.2,BC,BLMBN,BELEM,7.5
-116.7,32.48,BC,CRRBN,EL CARRIZO,3.8
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",0.8
-116.81,32.47,BC,EFLBN,EL FLORIDO,3
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,4.8
