LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,JUN
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,91.8
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),80.3
-102.18,21.74,AGS,BRTAG,SAN BARTOLO,135.4
-102.67,22,AGS,CDRAG,LA CODORNIZ,56.7
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,119.1
-102.19,21.83,AGS,CLVAG,CALVILLITO,89.1
-102,21.9,AGS,CNSAG,LOS CONOS,78.7
-102.3,22.36,AGS,CSOAG,COSIO,40
-102.35,22.12,AGS,JCQAG,JOCOQUE,90.6
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,91.8
-102.44,21.78,AGS,NGRAG,EL NIAGARA,73.6
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,65.5
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,76.2
-101.97,21.92,AGS,PALAG,PALO ALTO,97
-102.29,22.16,AGS,PBLAG,PABELLON,113.1
-102.42,22.14,AGS,PECAG,CALLES,73.7
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,45
-102.44,22.24,AGS,PTRAG,POTRERILLOS,54.4
-102.11,21.89,AGS,SNVAG,SANDOVALES,132.6
-102.13,21.81,AGS,TNJAG,LA TINAJA II,79
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,57.1
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,0
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,0
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",94.2
-116.7,32.48,BC,CRRBN,EL CARRIZO,0
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",0
-116.81,32.47,BC,EFLBN,EL FLORIDO,0
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,0
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,0
-116.81,32.1,BC,LAMBN,LA MISION,0
-115.27,32.39,BC,MXCBN,MEXICALI,0
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,0
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",207.8
-114.85,31.03,BC,SFLBN,SAN FELIPE,0
-115.94,30.53,BC,SQNBN,"San Quintin, B.C. SMN*",111.2
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,0
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,0
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,0
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,0
-109.7,23.68,BCS,LBABS,LOS BARRILES,1.5
-110.37,24.15,BCS,LPZBS,LA PAZ,0
-111.34,26.02,BCS,LRTBS,LORETO,0
-112,26.87,BCS,MLGBS,MULEGE,3
-109.98,24.07,BCS,PLNBS,LOS PLANES,0
-109.55,23.58,BCS,RBRBS,LA RIBERA,0
-110.05,23.8,BCS,SANBS,SAN ANTONIO,0.6
-109.6,23.03,BCS,SARBS,EL SARGENTO,0
-109.88,23.72,BCS,SBABS,SAN BARTOLO,0
-109.67,23.05,BCS,SJCBS,SAN JOSE DEL CABO,0
-109.72,23.45,BCS,SNTBS,SANTIAGO,8.7
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,0
-112.27,27.34,BCS,STRBS,"SANTA ROSALÕA, BCS. AUTOMATICA",0
-89.74,20,CAMP,BOLCA,BOLONCHEN,359.8
-89.89,18.37,CAMP,CALCA,CALAKMUL (AUTOMATICA),230
-90.72,19.36,CAMP,CANCA,CANASAYAB,148.9
-90.55,19.85,CAMP,CAMCA,"Campeche, Camp.  SMN*",117.1
-91.76,18.65,CAMP,CARCA,EL CARMEN,150.4
-90.72,19.36,CAMP,CHMCA,CHAMPOTON,147.7
-90.54,19.84,CAMP,CMPCA,CAMPECHE,136.5
-91.05,18.18,CAMP,CNDCA,CANDELARIA,426
-90.54,19.84,CAMP,COBCA,CAMPECHE OBSERVATORIO,197
-90.74,18.61,CAMP,ESCCA,ESCARCEGA,229.9
-90.14,20.2,CAMP,HECCA,HECELCHAKAN,321.8
-89.84,19.76,CAMP,HPOCA,HOPELCHEN,284.6
-90.22,19.44,CAMP,NYXCA,NOH-YAXCHE,488.9
-92.09,18.13,CAMP,PLZCA,PALIZADA,149.5
-91.2,18.9,CAMP,SBNCA,SABANCUY,186.6
-108.08,29.22,CHIH,C08219,"PE—ITAS, MADERA",15.5
-105.97,28.7,CHIH,C08270,"LA MESA, ALDAMA",5
-107.63,28.52,CHIH,AGZCH,PRESA ABRAHAM GONZALEZ,50.3
-107.25,28.8,CHIH,BACCH,BACHINIVA,18
-108.21,28.2,CHIH,BASCH,"Basaseachic, Chih.  SMN*",80.2
-108.21,28.21,CHIH,BSSCH,BASSASEACHIC,96.2
-107.72,27.03,CHIH,BTPCH,BATOPILAS,67.6
-107.9,27.9,CHIH,BTVCH,BATOVIRA,81.1
-107.9,30.5,CHIH,CAGCH,CASAS GRANDES,0
-105.17,27.69,CHIH,CCOCH,CD. CAMARGO,31.1
-105.46,28.2,CHIH,CDLCH,CD. DELICIAS,35.3
-106.17,28.57,CHIH,CHUCH,PRESA CHIHUAHUA,28
-106.44,31.74,CHIH,CJZCH,CD. JUAREZ,12
-105.38,27.41,CHIH,CLNCH,COLINA,22.1
-108.54,27.42,CHIH,CNDCH,CHINIPAS,36.5
-106.11,28.61,CHIH,ERECH,PRESA EL REJON,25.1
-105.63,28.17,CHIH,FIMCH,P. FRANCISCO I. MADERO,18
-108.3,29.2,CHIH,GPCCH,GUAPOCA,37.3
-107.28,26.68,CHIH,GRCCH,GUERACHIC,89.2
-106.96,26.1,CHIH,GYCCH,GUADALUPE Y CALVO,129
-107.88,26.87,CHIH,IGNCH,SAN IGNACIO,63
-104.92,27.12,CHIH,JMNCH,JIMENEZ,72
-105.39,27.54,CHIH,LBQCH,LA BOQUILLA,3.1
-106.98,29.94,CHIH,LJSCH,PRESA LAS LAJAS,13.7
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,27.6
-104.4,29.57,CHIH,OJNCH,OJINAGA,87
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,8.6
-105.7,26.9,CHIH,PRRCH,PARRAL,67
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,27.1
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,104.9
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,13.5
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,74.4
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,24
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,14.5
-108.38,28.42,CHIH,YEPCH,YEPACHE,174
-92.8,16.55,CHIS,ACACP,ACALA,288.2
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,260.1
-91.91,15.78,CHIS,AQECP,AQUEXPALA,333.1
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,359.4
-93.15,16.64,CHIS,BOQCP,BOQUERON,265.3
-92.72,15.35,CHIS,CACCP,CACALUTA,593.4
-92.48,16.31,CHIS,CASCP,CASCAJAL,204.2
-93.1,16.93,CHIS,CHICP,CHICOASEN,288.2
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,362.8
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,398.2
-92.58,15.2,CHIS,DESCP,DESPOBLADO,295.5
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,302
-92.67,15.32,CHIS,ESCCP,ESCUINTLA,312.1
-93.13,16.64,CHIS,GRICP,GRIJALVA,245.6
-92.47,15.13,CHIS,HUICP,HUIXTLA,302.9
-92.73,15.87,CHIS,JAPCP,JALTENANGO,328.7
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),131.8
-90.7,16.58,CHIS,LACCP,LACANTUN,495.4
-93.56,16.7,CHIS,LFLCP,LAS FLORES,427.3
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),368.4
-92.88,15.45,CHIS,MAPCP,MAPASTEPEC,472.6
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,273.6
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,436.8
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,422.5
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,140.1
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",44.2
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,465
-92.67,15.92,CHIS,REFCP,REFORMA,441.6
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,265.8
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,539.8
-93.38,17.43,CHIS,SAYCP,SAYULA,480.3
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,247.6
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,293.6
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,419.3
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,426.9
-92.82,16.94,CHIS,SNACP,SANTA MARIA,403.1
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),361.5
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,284.4
-93.75,16.09,CHIS,TONCP,TONALA,223.9
-93.53,15.88,CHIS,TPICP,TRES PICOS,230.5
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,326.7
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,248
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,357.5
-93.33,17.12,CHIS,YAMCP,YAMANHO,206.8
-100.84,28.34,COAH,ADLCL,ALLENDE,208
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,57.4
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,185.7
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,185.7
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,11.1
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,50.4
-100.65,26.84,COAH,CDLCL,CANDELA,45
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,67.6
-103.47,25.54,COAH,CYTCL,COYOTE,6.4
