LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,JUL
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,212.5
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),225.5
-102.18,21.74,AGS,BRTAG,SAN BARTOLO,218.1
-102.67,22,AGS,CDRAG,LA CODORNIZ,249
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,230.8
-102.19,21.83,AGS,CLVAG,CALVILLITO,267.2
-102,21.9,AGS,CNSAG,LOS CONOS,238.3
-102.3,22.36,AGS,CSOAG,COSIO,156
-102.35,22.12,AGS,JCQAG,JOCOQUE,138
-102.35,21.87,AGS,LNGAG,LOS NEGRITOS,227
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,255.6
-102.44,21.78,AGS,NGRAG,EL NIAGARA,265.4
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,180.5
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,229.5
-101.97,21.92,AGS,PALAG,PALO ALTO,252
-102.29,22.16,AGS,PBLAG,PABELLON,179.2
-102.42,22.14,AGS,PECAG,CALLES,208.5
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,185.9
-102.44,22.24,AGS,PTRAG,POTRERILLOS,190.6
-102.11,21.89,AGS,SNVAG,SANDOVALES,264
-102.13,21.81,AGS,TNJAG,LA TINAJA II,208
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,244.3
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,61.1
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,0.2
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",219.7
-116.7,32.48,BC,CRRBN,EL CARRIZO,0
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",0
-116.81,32.47,BC,EFLBN,EL FLORIDO,5.1
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,2.3
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,0.8
-116.3,32.52,BC,HNGBN,EL HONGO,22.6
-116.81,32.1,BC,LAMBN,LA MISION,0
-115.27,32.39,BC,MXCBN,MEXICALI,8.4
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,17
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",35.8
-114.85,31.03,BC,SFLBN,SAN FELIPE,4
-115.94,30.53,BC,SQNBN,"San Quintin, B.C. SMN*",116.8
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,0
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,21
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,0
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,0
-109.7,23.68,BCS,LBABS,LOS BARRILES,5.5
-110.37,24.15,BCS,LPZBS,LA PAZ,2
-111.34,26.02,BCS,LRTBS,LORETO,1.3
-112,26.87,BCS,MLGBS,MULEGE,0.5
-109.98,24.07,BCS,PLNBS,LOS PLANES,0
-109.55,23.58,BCS,RBRBS,LA RIBERA,5.7
-110.05,23.8,BCS,SANBS,SAN ANTONIO,2.2
-109.6,23.03,BCS,SARBS,EL SARGENTO,1
-109.88,23.72,BCS,SBABS,SAN BARTOLO,19
-109.67,23.05,BCS,SJCBS,SAN JOSE DEL CABO,5.5
-109.72,23.45,BCS,SNTBS,SANTIAGO,4.5
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,0
-112.27,27.34,BCS,STRBS,"SANTA ROSALÕA, BCS. AUTOMATICA",0
-110.22,23.43,BCS,TSNBS,TODOS SANTOS,9.5
-89.74,20,CAMP,BOLCA,BOLONCHEN,110
-89.89,18.37,CAMP,CALCA,CALAKMUL (AUTOMATICA),75.3
-90.72,19.36,CAMP,CANCA,CANASAYAB,244
-90.55,19.85,CAMP,CAMCA,"Campeche, Camp.  SMN*",163.6
-91.76,18.65,CAMP,CARCA,EL CARMEN,103.9
-90.72,19.36,CAMP,CHMCA,CHAMPOTON,167.5
-90.54,19.84,CAMP,CMPCA,CAMPECHE,287.5
-91.05,18.18,CAMP,CNDCA,CANDELARIA,186
-90.54,19.84,CAMP,COBCA,CAMPECHE OBSERVATORIO,284.4
-90.74,18.61,CAMP,ESCCA,ESCARCEGA,251.6
-90.14,20.2,CAMP,HECCA,HECELCHAKAN,336.1
-89.84,19.76,CAMP,HPOCA,HOPELCHEN,78.1
-90.22,19.44,CAMP,NYXCA,NOH-YAXCHE,247.1
-92.09,18.13,CAMP,PLZCA,PALIZADA,147.3
-91.2,18.9,CAMP,SBNCA,SABANCUY,285
-89.87,19.71,CAMP,XCPCA,XCUPIL,168.2
-108.08,29.22,CHIH,C08219,"PE—ITAS, MADERA",258.7
-105.97,28.7,CHIH,C08270,"LA MESA, ALDAMA",244
-107.63,28.52,CHIH,AGZCH,PRESA ABRAHAM GONZALEZ,261.6
-107.25,28.8,CHIH,BACCH,BACHINIVA,87.5
-108.21,28.2,CHIH,BASCH,"Basaseachic, Chih.  SMN*",344.9
-108.21,28.21,CHIH,BSSCH,BASSASEACHIC,315
-107.72,27.03,CHIH,BTPCH,BATOPILAS,185
-107.9,27.9,CHIH,BTVCH,BATOVIRA,323.5
-107.9,30.5,CHIH,CAGCH,CASAS GRANDES,121.5
-105.17,27.69,CHIH,CCOCH,CD. CAMARGO,197.6
-105.46,28.2,CHIH,CDLCH,CD. DELICIAS,209
-106.17,28.57,CHIH,CHUCH,PRESA CHIHUAHUA,263.3
-106.44,31.74,CHIH,CJZCH,CD. JUAREZ,87.5
-105.38,27.41,CHIH,CLNCH,COLINA,222
-108.54,27.42,CHIH,CNDCH,CHINIPAS,152.3
-106.11,28.61,CHIH,ERECH,PRESA EL REJON,263.4
-105.63,28.17,CHIH,FIMCH,P. FRANCISCO I. MADERO,172
-108.3,29.2,CHIH,GPCCH,GUAPOCA,233.2
-107.28,26.68,CHIH,GRCCH,GUERACHIC,226.2
-106.96,26.1,CHIH,GYCCH,GUADALUPE Y CALVO,242.5
-107.88,26.87,CHIH,IGNCH,SAN IGNACIO,205.8
-104.92,27.12,CHIH,JMNCH,JIMENEZ,203
-105.39,27.54,CHIH,LBQCH,LA BOQUILLA,127.1
-106.98,29.94,CHIH,LJSCH,PRESA LAS LAJAS,126.5
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,181.5
-104.4,29.57,CHIH,OJNCH,OJINAGA,55.5
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,121.1
-105.7,26.9,CHIH,PRRCH,PARRAL,300
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,263.3
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,211.3
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,201
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,248.4
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,121.1
-108.38,28.42,CHIH,YEPCH,YEPACHE,368
-92.8,16.55,CHIS,ACACP,ACALA,107.7
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,210.9
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,232.9
-93.15,16.64,CHIS,BOQCP,BOQUERON,156.3
-92.72,15.35,CHIS,CACCP,CACALUTA,476.8
-92.48,16.31,CHIS,CASCP,CASCAJAL,203.1
-93.1,16.93,CHIS,CHICP,CHICOASEN,163.5
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,298.5
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,134.3
-92.58,15.2,CHIS,DESCP,DESPOBLADO,312.5
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,354.5
-92.67,15.32,CHIS,ESCCP,ESCUINTLA,579.2
-93.13,16.64,CHIS,GRICP,GRIJALVA,178.4
-92.47,15.13,CHIS,HUICP,HUIXTLA,323.9
-92.73,15.87,CHIS,JAPCP,JALTENANGO,485.7
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),148.2
-90.7,16.58,CHIS,LACCP,LACANTUN,288.9
-93.56,16.7,CHIS,LFLCP,LAS FLORES,167.1
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),113.2
-92.88,15.45,CHIS,MAPCP,MAPASTEPEC,481
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,236
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,219
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,344.1
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,310.7
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",268
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,228.8
-92.67,15.92,CHIS,REFCP,REFORMA,334.1
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,249.8
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,153.9
-93.38,17.43,CHIS,SAYCP,SAYULA,295.5
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,183.3
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,189.3
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,175.4
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,204.2
-92.82,16.94,CHIS,SNACP,SANTA MARIA,181
-92.15,14.97,CHIS,TALCP,TALISMAN,627.2
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),373.5
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,249.3
-93.75,16.09,CHIS,TONCP,TONALA,267.8
-93.53,15.88,CHIS,TPICP,TRES PICOS,275.9
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,180.9
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,120.1
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,254
-93.33,17.12,CHIS,YAMCP,YAMANHO,159.8
-100.84,28.34,COAH,ADLCL,ALLENDE,49
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,42.5
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,61
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,61
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,32
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,79
-100.65,26.84,COAH,CDLCL,CANDELA,31
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,79
-103.47,25.54,COAH,CYTCL,COYOTE,37.7
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,73.5
-100.82,28.82,COAH,LFGCL,LA FRAGUA,19.7
-103.28,25.07,COAH,LFLDR,LA FLOR,70.6
-103.2,25.6,COAH,MATCL,MATAMOROS SL,38
-101.42,26.91,COAH,MCVCL,MONCLOVA,129.4
-101.51,27.88,COAH,MZQCL,MUZQUIZ,301.5
-102.4,27.32,COAH,OCMCL,OCAMPO,122.2
-102.18,25.44,COAH,PARCL,PARRAS,12.4
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,36.3
-101,25.46,COAH,PRSCL,PROGRESO,30.5
