LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,AGO
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,59.1
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),110.2
-102.67,22,AGS,CDRAG,LA CODORNIZ,103.5
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,66.6
-102.19,21.83,AGS,CLVAG,CALVILLITO,46.7
-102,21.9,AGS,CNSAG,LOS CONOS,98.4
-102.3,22.36,AGS,CSOAG,COSIO,59
-102.35,22.12,AGS,JCQAG,JOCOQUE,59.3
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,72.9
-102.44,21.78,AGS,NGRAG,EL NIAGARA,80.1
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,64.5
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,65.2
-101.97,21.92,AGS,PALAG,PALO ALTO,106
-102.29,22.16,AGS,PBLAG,PABELLON,96.3
-102.42,22.14,AGS,PECAG,CALLES,82.5
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,43.6
-102.44,22.24,AGS,PTRAG,POTRERILLOS,106.9
-102.11,21.89,AGS,SNVAG,SANDOVALES,61.5
-102.13,21.81,AGS,TNJAG,LA TINAJA II,45
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,77.3
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,30.2
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,0
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",191.8
-116.7,32.48,BC,CRRBN,EL CARRIZO,1
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",8.5
-116.81,32.47,BC,EFLBN,EL FLORIDO,6.4
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,1.8
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,19.6
-115.27,32.39,BC,MXCBN,MEXICALI,25.7
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,8
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",113.8
-114.85,31.03,BC,SFLBN,SAN FELIPE,17.8
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,60
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,130.3
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,7.8
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,30.5
-109.7,23.68,BCS,LBABS,LOS BARRILES,76
-110.37,24.15,BCS,LPZBS,LA PAZ,5
-111.34,26.02,BCS,LRTBS,LORETO,93
-112,26.87,BCS,MLGBS,MULEGE,71
-109.98,24.07,BCS,PLNBS,LOS PLANES,27.6
-109.55,23.58,BCS,RBRBS,LA RIBERA,52
-110.05,23.8,BCS,SANBS,SAN ANTONIO,63.5
-109.6,23.03,BCS,SARBS,EL SARGENTO,26
-109.88,23.72,BCS,SBABS,SAN BARTOLO,66
-109.67,23.05,BCS,SJCBS,SAN JOSE DEL CABO,111.5
-109.72,23.45,BCS,SNTBS,SANTIAGO,86.1
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,113.5
-112.27,27.34,BCS,STRBS,"SANTA ROSALÕA, BCS. AUTOMATICA",0
-110.22,23.43,BCS,TSNBS,TODOS SANTOS,53.5
-89.74,20,CAMP,BOLCA,BOLONCHEN,202.3
-90.72,19.36,CAMP,CANCA,CANASAYAB,221.5
-90.55,19.85,CAMP,CAMCA,"Campeche, Camp.  SMN*",132.1
-91.76,18.65,CAMP,CARCA,EL CARMEN,289.4
-90.72,19.36,CAMP,CHMCA,CHAMPOTON,186.5
-90.54,19.84,CAMP,CMPCA,CAMPECHE,389
-91.05,18.18,CAMP,CNDCA,CANDELARIA,339
-90.54,19.84,CAMP,COBCA,CAMPECHE OBSERVATORIO,310.5
-90.74,18.61,CAMP,ESCCA,ESCARCEGA,225.5
-90.14,20.2,CAMP,HECCA,HECELCHAKAN,288
-89.84,19.76,CAMP,HPOCA,HOPELCHEN,116.6
-90.22,19.44,CAMP,NYXCA,NOH-YAXCHE,415.7
-92.09,18.13,CAMP,PLZCA,PALIZADA,237.5
-91.2,18.9,CAMP,SBNCA,SABANCUY,213.5
-108.08,29.22,CHIH,C08219,"PE—ITAS, MADERA",146.5
-105.97,28.7,CHIH,C08270,"LA MESA, ALDAMA",51
-107.63,28.52,CHIH,AGZCH,PRESA ABRAHAM GONZALEZ,86
-107.25,28.8,CHIH,BACCH,BACHINIVA,49
-108.21,28.2,CHIH,BASCH,"Basaseachic, Chih.  SMN*",35.3
-108.21,28.21,CHIH,BSSCH,BASSASEACHIC,102.7
-107.72,27.03,CHIH,BTPCH,BATOPILAS,86.1
-107.9,30.5,CHIH,CAGCH,CASAS GRANDES,97.5
-105.17,27.69,CHIH,CCOCH,CD. CAMARGO,13
-105.46,28.2,CHIH,CDLCH,CD. DELICIAS,39
-106.17,28.57,CHIH,CHUCH,PRESA CHIHUAHUA,33.5
-106.44,31.74,CHIH,CJZCH,CD. JUAREZ,29
-105.38,27.41,CHIH,CLNCH,COLINA,56.2
-108.54,27.42,CHIH,CNDCH,CHINIPAS,173.8
-107.64,27.76,CHIH,CRLCH,CREEL,119.5
-106.11,28.61,CHIH,ERECH,PRESA EL REJON,33.5
-105.63,28.17,CHIH,FIMCH,P. FRANCISCO I. MADERO,45
-108.3,29.2,CHIH,GPCCH,GUAPOCA,136.2
-107.28,26.68,CHIH,GRCCH,GUERACHIC,147.4
-106.96,26.1,CHIH,GYCCH,GUADALUPE Y CALVO,252.5
-107.88,26.87,CHIH,IGNCH,SAN IGNACIO,204.6
-104.92,27.12,CHIH,JMNCH,JIMENEZ,18
-105.39,27.54,CHIH,LBQCH,LA BOQUILLA,69
-106.98,29.94,CHIH,LJSCH,PRESA LAS LAJAS,63
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,51.5
-104.4,29.57,CHIH,OJNCH,OJINAGA,5
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,6.1
-105.7,26.9,CHIH,PRRCH,PARRAL,83.3
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,36.9
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,111.9
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,92
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,183.1
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,24
-108.38,28.42,CHIH,YEPCH,YEPACHE,364
-92.8,16.55,CHIS,ACACP,ACALA,155.3
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,164.3
-91.91,15.78,CHIS,AQECP,AQUEXPALA,58.6
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,204.2
-93.15,16.64,CHIS,BOQCP,BOQUERON,155.4
-92.72,15.35,CHIS,CACCP,CACALUTA,535.6
-92.48,16.31,CHIS,CASCP,CASCAJAL,238
-93.1,16.93,CHIS,CHICP,CHICOASEN,104.9
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,402.1
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,251
-92.58,15.2,CHIS,DESCP,DESPOBLADO,558
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,488
-92.67,15.32,CHIS,ESCCP,ESCUINTLA,487.9
-93.13,16.64,CHIS,GRICP,GRIJALVA,103.7
-92.47,15.13,CHIS,HUICP,HUIXTLA,665.2
-92.73,15.87,CHIS,JAPCP,JALTENANGO,382.3
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),236.6
-93.56,16.7,CHIS,LFLCP,LAS FLORES,66.9
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),312.3
-92.88,15.45,CHIS,MAPCP,MAPASTEPEC,567
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,271.6
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,211.9
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,356.7
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,182.8
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",241.8
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,498
-92.67,15.92,CHIS,REFCP,REFORMA,416.1
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,387.8
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,653.3
-93.38,17.43,CHIS,SAYCP,SAYULA,776.2
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,189.9
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,196.2
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,171.8
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,421
-92.82,16.94,CHIS,SNACP,SANTA MARIA,185.6
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),606.5
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,363
-93.75,16.09,CHIS,TONCP,TONALA,248.9
-93.53,15.88,CHIS,TPICP,TRES PICOS,397.5
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,114.1
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,134.6
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,229.8
-93.33,17.12,CHIS,YAMCP,YAMANHO,104.2
-100.84,28.34,COAH,ADLCL,ALLENDE,4
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,25.5
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,6.3
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,6.3
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,7.9
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,0
-100.65,26.84,COAH,CDLCL,CANDELA,1.2
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,13
-103.47,25.54,COAH,CYTCL,COYOTE,35.9
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,14.4
-100.82,28.82,COAH,LFGCL,LA FRAGUA,12.5
-103.28,25.07,COAH,LFLDR,LA FLOR,8
-103.2,25.6,COAH,MATCL,MATAMOROS SL,45
-101.42,26.91,COAH,MCVCL,MONCLOVA,1
-101.51,27.88,COAH,MZQCL,MUZQUIZ,33
-102.4,27.32,COAH,OCMCL,OCAMPO,4
-102.18,25.44,COAH,PARCL,PARRAS,31
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,24.6
-101,25.46,COAH,PRSCL,PROGRESO,1.5
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,14
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),56.4
-101.12,27.84,COAH,SBNCL,SABINAS,9
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,6.5
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,3.5
-102.98,25.76,COAH,SPECL,SAN PEDRO,1.9
-101.02,25.38,COAH,STOCL,SALTILLO,27
-103.45,25.54,COAH,TORCL,TORREON OBSERVATORIO,21.4
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,4.5
-101.9,29,COAH,ZPTCL,ZAPATA,16
-103.61,19.25,COL,BVSCM,BUENA VISTA,242.5
-103.71,19.3,COL,CHNCM,EL CHANAL,378.9
-103.63,18.81,COL,CLLCM,CALLEJONES,59.2
-103.76,19.32,COL,CMLCM,COMALA,239
-103.8,19.21,COL,CQMCM,COQUIMATLAN,132.3
-103.6,19.33,COL,CUACM,CUAHTEMOC,205
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,107.2
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,126.3
-103.73,19.22,COL,LPSCM,LA POSTA,162.7
-104.32,19.04,COL,MNZCM,MANZANILLO,323.1
-103.82,19.27,COL,PNTCM,PEÒITAS,221.9
-103.73,19.22,COL,RDRCM,RADAR,207
-103.7,19.41,COL,SCHCM,SUCHITLAN,228.3
-103.88,18.93,COL,TCMCM,TECOMAN,158.5
-103.52,19.25,COL,TRJCM,TROJES,157.5
-103.66,19.28,COL,TRPCM,TRAPICHE,229.6
-99.21,19.22,DF,AJSDF,AJUSCO,189.1
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",134.7
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,186
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,125.1
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,147.3
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,138.4
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,237
-99.14,19.47,DF,CMTDF,CIEN METROS,131.6
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,173.2
-99.09,19.19,DF,CTNDF,CUAUTENCO,77.9
-99.09,19.48,DF,CYLDF,COYOL,95.4
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,89.5
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,144.2
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,140.4
-99.15,19.38,DF,DVLDF,DEL VALLE,88.8
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,143.9
-99.29,19.36,DF,EYQDF,EL YAQUI,48.1
-99.35,19.3,DF,EZCDF,EL ZARCO,264.2
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),123.7
-99.26,19.31,DF,HYTDF,HUAYATLA,87
-99.3,19.34,DF,LVNDF,LA VENTA,199.6
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,326.7
-99.13,19.4,DF,MCRDF,M. CARRILLO,129.2
-99.03,19.19,DF,MLPDF,MILPA ALTA,97.6
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),238.3
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,120.7
-99.1,19.38,DF,PBADF,P. B. ACULCO,155.7
-99.06,19.43,DF,PBCDF,P. B. CHURUBUSCO L(CH.LAGO),87.2
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,116.7
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,92.3
-99.17,19.44,DF,PBTDF,P. B. TIZOC,135
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,107.8
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,124.2
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,146.8
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,112.3
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,106.9
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,167.7
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,189.8
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,126.8
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,124.7
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,151.6
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,196.2
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",194.5
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,198
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,141
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,154.1
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),156.4
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,100.5
-99,19.17,DF,SANDF,SANTA ANA,126.2
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,192.3
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,98
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,145.3
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,104.1
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,159.1
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),83.1
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,147.5
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,149.8
