LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,SEP
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,135.4
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),169.9
-102.67,22,AGS,CDRAG,LA CODORNIZ,115.3
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,141.4
-102.19,21.83,AGS,CLVAG,CALVILLITO,215.3
-102,21.9,AGS,CNSAG,LOS CONOS,115.8
-102.3,22.36,AGS,CSOAG,COSIO,165
-102.35,22.12,AGS,JCQAG,JOCOQUE,146.8
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,180.4
-102.44,21.78,AGS,NGRAG,EL NIAGARA,188.3
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,176.5
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,166.7
-101.97,21.92,AGS,PALAG,PALO ALTO,112.5
-102.29,22.16,AGS,PBLAG,PABELLON,191.8
-102.42,22.14,AGS,PECAG,CALLES,170
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,190.8
-102.44,22.24,AGS,PTRAG,POTRERILLOS,99.5
-102.11,21.89,AGS,SNVAG,SANDOVALES,136
-102.13,21.81,AGS,TNJAG,LA TINAJA II,134.5
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,155.9
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,66.1
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,0
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",43.7
-116.49,32.2,BC,BLMBN,BELEM,2
-116.7,32.48,BC,CRRBN,EL CARRIZO,0
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",29.4
-116.81,32.47,BC,EFLBN,EL FLORIDO,0
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,0
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,0.2
-116.3,32.52,BC,HNGBN,EL HONGO,15.1
-116.81,32.1,BC,LAMBN,LA MISION,0
-115.27,32.39,BC,MXCBN,MEXICALI,32.6
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,0
-114.85,31.03,BC,SFLBN,SAN FELIPE,15.2
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,25.2
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,21.3
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,12.5
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,0
-109.7,23.68,BCS,LBABS,LOS BARRILES,142
-110.37,24.15,BCS,LPZBS,LA PAZ,121.8
-111.34,26.02,BCS,LRTBS,LORETO,29.1
-112,26.87,BCS,MLGBS,MULEGE,11
-109.98,24.07,BCS,PLNBS,LOS PLANES,70
-109.55,23.58,BCS,RBRBS,LA RIBERA,87
-110.05,23.8,BCS,SANBS,SAN ANTONIO,171.6
-109.6,23.03,BCS,SARBS,EL SARGENTO,70.7
-109.88,23.72,BCS,SBABS,SAN BARTOLO,150
-109.67,23.05,BCS,SJCBS,SAN JOSE DEL CABO,111
-109.72,23.45,BCS,SNTBS,SANTIAGO,138.8
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,4.5
