LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,OCT
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,25.7
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),78.9
-102.47,22.19,AGS,ANVAG,CINCUENTA ANIVERSARIO,45
-102.67,22,AGS,CDRAG,LA CODORNIZ,36.7
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,38.5
-102.19,21.83,AGS,CLVAG,CALVILLITO,5.8
-102,21.9,AGS,CNSAG,LOS CONOS,27.6
-102.3,22.36,AGS,CSOAG,COSIO,69.5
-102.35,22.12,AGS,JCQAG,JOCOQUE,18.8
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,40.8
-102.44,21.78,AGS,NGRAG,EL NIAGARA,48.3
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,16.5
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,49.7
-101.97,21.92,AGS,PALAG,PALO ALTO,22.5
-102.29,22.16,AGS,PBLAG,PABELLON,85.1
-102.42,22.14,AGS,PECAG,CALLES,53.6
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,45.5
-102.44,22.24,AGS,PTRAG,POTRERILLOS,33.1
-102.11,21.89,AGS,SNVAG,SANDOVALES,12
-102.13,21.81,AGS,TNJAG,LA TINAJA II,11.5
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,27.4
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,24.1
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,17.9
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",40.9
-116.7,32.48,BC,CRRBN,EL CARRIZO,21.4
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",48.9
-116.81,32.47,BC,EFLBN,EL FLORIDO,10.5
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,11.8
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,0
-116.3,32.52,BC,HNGBN,EL HONGO,21.8
-116.81,32.1,BC,LAMBN,LA MISION,5
-115.27,32.39,BC,MXCBN,MEXICALI,0.5
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,0
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",61.2
-114.85,31.03,BC,SFLBN,SAN FELIPE,0
-115.94,30.53,BC,SQNBN,"San Quintin, B.C. SMN*",191.3
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,74.8
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,33
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,0
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,0
-109.7,23.68,BCS,LBABS,LOS BARRILES,68
-110.37,24.15,BCS,LPZBS,LA PAZ,40.7
-111.34,26.02,BCS,LRTBS,LORETO,205.4
-112,26.87,BCS,MLGBS,MULEGE,91
-109.98,24.07,BCS,PLNBS,LOS PLANES,5
-109.55,23.58,BCS,RBRBS,LA RIBERA,89.5
-110.05,23.8,BCS,SANBS,SAN ANTONIO,17.7
-109.6,23.03,BCS,SARBS,EL SARGENTO,7
-109.88,23.72,BCS,SBABS,SAN BARTOLO,41
-109.67,23.05,BCS,SJCBS,SAN JOSE DEL CABO,128
-109.72,23.45,BCS,SNTBS,SANTIAGO,63.2
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,20
-112.27,27.34,BCS,STRBS,"SANTA ROSALÕA, BCS. AUTOMATICA",0
