LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,NOV
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,20.6
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),56.1
-102.47,22.19,AGS,ANVAG,CINCUENTA ANIVERSARIO,44.7
-102.67,22,AGS,CDRAG,LA CODORNIZ,31.7
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,31.4
-102.19,21.83,AGS,CLVAG,CALVILLITO,32.7
-102,21.9,AGS,CNSAG,LOS CONOS,31.5
-102.3,22.36,AGS,CSOAG,COSIO,35
-102.35,22.12,AGS,JCQAG,JOCOQUE,31.5
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,43.3
-102.44,21.78,AGS,NGRAG,EL NIAGARA,42.7
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,30
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,33.4
-101.97,21.92,AGS,PALAG,PALO ALTO,20.3
-102.29,22.16,AGS,PBLAG,PABELLON,25.6
-102.42,22.14,AGS,PECAG,CALLES,36.5
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,25.7
-102.44,22.24,AGS,PTRAG,POTRERILLOS,32.8
-102.11,21.89,AGS,SNVAG,SANDOVALES,41.5
-102.13,21.81,AGS,TNJAG,LA TINAJA II,33.7
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,41.5
-116.2,32.27,BC,AGHBN,AGUA HECHICERA,22.9
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,10.1
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",81.3
-116.7,32.48,BC,CRRBN,EL CARRIZO,6.2
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",8.8
-116.81,32.47,BC,EFLBN,EL FLORIDO,8
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,13.2
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,29
-116.3,32.52,BC,HNGBN,EL HONGO,18.3
-116.81,32.1,BC,LAMBN,LA MISION,0
-115.27,32.39,BC,MXCBN,MEXICALI,12.3
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,4.5
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",30.9
-114.85,31.03,BC,SFLBN,SAN FELIPE,0.5
-115.94,30.53,BC,SQNBN,"San Quintin, B.C. SMN*",44.4
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,0.2
-111.66,25.01,BCS,CONBS,CD. CONSTITUCION (AUTOMATICA),0.5
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,16
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,8.5
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,8
-109.7,23.68,BCS,LBABS,LOS BARRILES,3
-110.37,24.15,BCS,LPZBS,LA PAZ,0
-111.34,26.02,BCS,LRTBS,LORETO,0
-112,26.87,BCS,MLGBS,MULEGE,0
-109.98,24.07,BCS,PLNBS,LOS PLANES,2
-109.55,23.58,BCS,RBRBS,LA RIBERA,2
-110.05,23.8,BCS,SANBS,SAN ANTONIO,0
-109.6,23.03,BCS,SARBS,EL SARGENTO,8
-109.88,23.72,BCS,SBABS,SAN BARTOLO,13
-109.67,23.05,BCS,SJCBS,SAN JOSE DEL CABO,17
-109.72,23.45,BCS,SNTBS,SANTIAGO,9.2
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,0
-112.27,27.34,BCS,STRBS,"SANTA ROSALÕA, BCS. AUTOMATICA",0
-110.22,23.43,BCS,TSNBS,TODOS SANTOS,0
-89.74,20,CAMP,BOLCA,BOLONCHEN,234
-90.72,19.36,CAMP,CANCA,CANASAYAB,154
-90.55,19.85,CAMP,CAMCA,"Campeche, Camp.  SMN*",226.6
-91.76,18.65,CAMP,CARCA,EL CARMEN,379.3
-90.72,19.36,CAMP,CHMCA,CHAMPOTON,104
-90.54,19.84,CAMP,CMPCA,CAMPECHE,137.5
-91.05,18.18,CAMP,CNDCA,CANDELARIA,275
-90.54,19.84,CAMP,COBCA,CAMPECHE OBSERVATORIO,183.5
-90.74,18.61,CAMP,ESCCA,ESCARCEGA,155.4
-90.14,20.2,CAMP,HECCA,HECELCHAKAN,141.9
-89.84,19.76,CAMP,HPOCA,HOPELCHEN,115.8
-90.22,19.44,CAMP,NYXCA,NOH-YAXCHE,296.6
-92.09,18.13,CAMP,PLZCA,PALIZADA,300.5
-91.2,18.9,CAMP,SBNCA,SABANCUY,52.5
-108.08,29.22,CHIH,C08219,"PE—ITAS, MADERA",38
-107.63,28.52,CHIH,AGZCH,PRESA ABRAHAM GONZALEZ,6.5
-107.25,28.8,CHIH,BACCH,BACHINIVA,4
-108.21,28.2,CHIH,BASCH,"Basaseachic, Chih.  SMN*",80.9
-108.21,28.21,CHIH,BSSCH,BASSASEACHIC,80.8
-107.72,27.03,CHIH,BTPCH,BATOPILAS,75.2
-107.9,27.9,CHIH,BTVCH,BATOVIRA,74.5
-107.9,30.5,CHIH,CAGCH,CASAS GRANDES,13.7
-105.17,27.69,CHIH,CCOCH,CD. CAMARGO,55
-105.46,28.2,CHIH,CDLCH,CD. DELICIAS,30.5
-108.54,27.39,CHIH,CHICH,"CHINIPAS, (AUTOMATICA)",31.2
-106.17,28.57,CHIH,CHUCH,PRESA CHIHUAHUA,33.4
-106.44,31.74,CHIH,CJZCH,CD. JUAREZ,1
-105.38,27.41,CHIH,CLNCH,COLINA,50.5
-108.54,27.42,CHIH,CNDCH,CHINIPAS,28
-107.64,27.76,CHIH,CRLCH,CREEL,72.5
-106.11,28.61,CHIH,ERECH,PRESA EL REJON,33.3
-105.63,28.17,CHIH,FIMCH,P. FRANCISCO I. MADERO,35.5
-107.07,26.82,CHIH,GCCCH,"GUACHOCHI, (AUTOMATICA)",39.9
-108.3,29.2,CHIH,GPCCH,GUAPOCA,22.8
-106.96,26.1,CHIH,GYCCH,GUADALUPE Y CALVO,194
-107.88,26.87,CHIH,IGNCH,SAN IGNACIO,71
-104.92,27.12,CHIH,JMNCH,JIMENEZ,70
-105.39,27.54,CHIH,LBQCH,LA BOQUILLA,40.7
-106.98,29.94,CHIH,LJSCH,PRESA LAS LAJAS,4.5
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,45.5
-107.99,27.86,CHIH,MAGCH,"MAGUARICHI, (AUTOMATICA)",0.3
-104.4,29.57,CHIH,OJNCH,OJINAGA,19
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,67.2
-105.7,26.9,CHIH,PRRCH,PARRAL,52.7
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,43.4
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,5.4
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,2
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,118.3
-107.92,27.22,CHIH,URICH,"URIQUE, (AUTOMATICA)",39.6
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,67
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,77
-108.38,28.42,CHIH,YEPCH,YEPACHE,15
-92.8,16.55,CHIS,ACACP,ACALA,10.9
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,5.8
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,32
-93.15,16.64,CHIS,BOQCP,BOQUERON,10.1
-92.72,15.35,CHIS,CACCP,CACALUTA,313.4
-92.48,16.31,CHIS,CASCP,CASCAJAL,33.6
