LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,DIC
-102.31,21.9,AGS,AGSAG,AGUASCALIENTES,77.5
-102.59,22.18,AGS,ALMAG,ALAMITOS (CAMPAMENTO),15.4
-102.47,22.19,AGS,ANVAG,CINCUENTA ANIVERSARIO,92.2
-102.67,22,AGS,CDRAG,LA CODORNIZ,104.9
-102.2,22.01,AGS,CHOAG,CAÒADA HONDA,67.5
-102.19,21.83,AGS,CLVAG,CALVILLITO,69.5
-102,21.9,AGS,CNSAG,LOS CONOS,64.6
-102.3,22.36,AGS,CSOAG,COSIO,106.5
-102.35,22.12,AGS,JCQAG,JOCOQUE,99.5
-102.8,21.79,AGS,MNLAG,MEDIA LUNA,103.7
-102.44,21.78,AGS,NGRAG,EL NIAGARA,88.4
-102,22.02,AGS,NVLAG,EL NOVILLO                         *,57
-102.29,21.85,AGS,OBSAG,OBSERVATORIO,80.1
-101.97,21.92,AGS,PALAG,PALO ALTO,69.5
-102.29,22.16,AGS,PBLAG,PABELLON,80
-102.42,22.14,AGS,PECAG,CALLES,113
-102.14,22.2,AGS,PTOAG,PUERTO DE LA CONCEPCION,93
-102.44,22.24,AGS,PTRAG,POTRERILLOS,127.6
-102.11,21.89,AGS,SNVAG,SANDOVALES,63.5
-102.13,21.81,AGS,TNJAG,LA TINAJA II,70
-102.07,22.1,AGS,VJZAG,VILLA JUAREZ,68.7
-116.91,32.45,BC,ALRBN,ABELARDO L. RODRIGUEZ,13.6
-113.56,28.9,BC,BAABN,"BAHIA DE LOS ANGELES, BC.  SMN",2.7
-116.7,32.48,BC,CRRBN,EL CARRIZO,18
-113.46,27.64,BC,DIABN,"Gustavo DÌçaz Ordaz, B.C.S.  SMN*",11.9
-116.81,32.47,BC,EFLBN,EL FLORIDO,8.1
-116.17,31.1,BC,ELZBN,EMILIO LOPEZ ZAMORA,23
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,0.8
-115.27,32.39,BC,MXCBN,MEXICALI,2.1
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,1
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",27.4
-114.85,31.03,BC,SFLBN,SAN FELIPE,2.8
-115.94,30.53,BC,SQNBN,"San Quintin, B.C. SMN*",6.3
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,3.1
-111.66,25.01,BCS,CONBS,CD. CONSTITUCION (AUTOMATICA),4.1
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,0
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,11
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,9.5
-109.7,23.68,BCS,LBABS,LOS BARRILES,0
-110.37,24.15,BCS,LPZBS,LA PAZ,1.3
-111.34,26.02,BCS,LRTBS,LORETO,0
-112,26.87,BCS,MLGBS,MULEGE,3.5
-109.98,24.07,BCS,PLNBS,LOS PLANES,4
-109.55,23.58,BCS,RBRBS,LA RIBERA,0
-110.05,23.8,BCS,SANBS,SAN ANTONIO,5.3
-109.6,23.03,BCS,SARBS,EL SARGENTO,11
-109.88,23.72,BCS,SBABS,SAN BARTOLO,2
-109.67,23.05,BCS,SJCBS,SAN JOSE DEL CABO,0
-109.72,23.45,BCS,SNTBS,SANTIAGO,0
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,0
-112.27,27.34,BCS,STRBS,"SANTA ROSALÕA, BCS. AUTOMATICA",0
-110.22,23.43,BCS,TSNBS,TODOS SANTOS,0
-89.74,20,CAMP,BOLCA,BOLONCHEN,64.5
-90.72,19.36,CAMP,CANCA,CANASAYAB,47.9
-90.55,19.85,CAMP,CAMCA,"Campeche, Camp.  SMN*",49.2
-91.76,18.65,CAMP,CARCA,EL CARMEN,200.1
-90.72,19.36,CAMP,CHMCA,CHAMPOTON,81.1
-90.54,19.84,CAMP,CMPCA,CAMPECHE,55.5
-91.05,18.18,CAMP,CNDCA,CANDELARIA,119
-90.54,19.84,CAMP,COBCA,CAMPECHE OBSERVATORIO,58.5
-90.74,18.61,CAMP,ESCCA,ESCARCEGA,76.1
-90.14,20.2,CAMP,HECCA,HECELCHAKAN,57.3
-89.84,19.76,CAMP,HPOCA,HOPELCHEN,26.1
-90.22,19.44,CAMP,NYXCA,NOH-YAXCHE,46.9
-92.09,18.13,CAMP,PLZCA,PALIZADA,275
-91.2,18.9,CAMP,SBNCA,SABANCUY,124
-89.87,19.71,CAMP,XCPCA,XCUPIL,23.9
-108.08,29.22,CHIH,C08219,"PE—ITAS, MADERA",93
-107.63,28.52,CHIH,AGZCH,PRESA ABRAHAM GONZALEZ,0
-107.25,28.8,CHIH,BACCH,BACHINIVA,26
-108.21,28.2,CHIH,BASCH,"Basaseachic, Chih.  SMN*",242.1
-108.21,28.21,CHIH,BSSCH,BASSASEACHIC,171.8
-107.72,27.03,CHIH,BTPCH,BATOPILAS,125.3
-107.9,27.9,CHIH,BTVCH,BATOVIRA,128.1
-107.9,30.5,CHIH,CAGCH,CASAS GRANDES,6
-105.17,27.69,CHIH,CCOCH,CD. CAMARGO,4.1
-105.46,28.2,CHIH,CDLCH,CD. DELICIAS,10
-108.54,27.39,CHIH,CHICH,"CHINIPAS, (AUTOMATICA)",3
-106.17,28.57,CHIH,CHUCH,PRESA CHIHUAHUA,12
-106.44,31.74,CHIH,CJZCH,CD. JUAREZ,1
-108.54,27.42,CHIH,CNDCH,CHINIPAS,100
-106.11,28.61,CHIH,ERECH,PRESA EL REJON,12
-105.63,28.17,CHIH,FIMCH,P. FRANCISCO I. MADERO,7.7
-107.07,26.82,CHIH,GCCCH,"GUACHOCHI, (AUTOMATICA)",130.3
-108.3,29.2,CHIH,GPCCH,GUAPOCA,115.2
-107.28,26.68,CHIH,GRCCH,GUERACHIC,90.4
-106.96,26.1,CHIH,GYCCH,GUADALUPE Y CALVO,145
-107.88,26.87,CHIH,IGNCH,SAN IGNACIO,118
-105.39,27.54,CHIH,LBQCH,LA BOQUILLA,1.4
-106.98,29.94,CHIH,LJSCH,PRESA LAS LAJAS,4.2
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,6.5
-107.99,27.86,CHIH,MAGCH,"MAGUARICHI, (AUTOMATICA)",31.7
-104.4,29.57,CHIH,OJNCH,OJINAGA,0
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,9.6
-105.7,26.9,CHIH,PRRCH,PARRAL,9.9
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,3.4
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,64.5
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,13.7
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,163.2
-107.92,27.22,CHIH,URICH,"URIQUE, (AUTOMATICA)",169.2
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,16
-108.38,28.42,CHIH,YEPCH,YEPACHE,124
-92.8,16.55,CHIS,ACACP,ACALA,3.7
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,0
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,1.5
-93.15,16.64,CHIS,BOQCP,BOQUERON,6.2
-92.48,16.31,CHIS,CASCP,CASCAJAL,0.9
-93.1,16.93,CHIS,CHICP,CHICOASEN,23
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,38.8
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,23.7
-93.13,16.64,CHIS,GRICP,GRIJALVA,18.8
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),0
-93.56,16.7,CHIS,LFLCP,LAS FLORES,2.4
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),376.9
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,867.1
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,26.1
-93.45,17.41,CHIS,PE•CP,PRESA PE—ITAS,723.3
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,358
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,505.4
-92.67,15.92,CHIS,REFCP,REFORMA,21.4
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,0.6
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,423.9
-93.38,17.43,CHIS,SAYCP,SAYULA,1138.2
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,12
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,1
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,22
-92.82,16.94,CHIS,SNACP,SANTA MARIA,224.8
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,0
-93.75,16.09,CHIS,TONCP,TONALA,0
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,1.6
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,3.8
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,25
-93.33,17.12,CHIS,YAMCP,YAMANHO,362.7
-100.84,28.34,COAH,ADLCL,ALLENDE,20
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,11
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,37.3
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,37.3
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,12.4
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,7
-100.65,26.84,COAH,CDLCL,CANDELA,20.5
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,16
-103.47,25.54,COAH,CYTCL,COYOTE,8.7
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,72.1
-100.82,28.82,COAH,LFGCL,LA FRAGUA,6.2
-103.2,25.6,COAH,MATCL,MATAMOROS SL,4
-101.42,26.91,COAH,MCVCL,MONCLOVA,5.8
-101.51,27.88,COAH,MZQCL,MUZQUIZ,8
-102.4,27.32,COAH,OCMCL,OCAMPO,4
-102.18,25.44,COAH,PARCL,PARRAS,12.5
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,22.4
-101,25.46,COAH,PRSCL,PROGRESO,26.5
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,32
